tag,task,benchmark_id,solver_id,solver_name,solver_version,benchmark_name,coverage
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,1,mu-toksia-glucose,ICCMA23,iccma23,90.88145896656535
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,6,asc_01,1.0,iccma23,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,7,asc_02,1.0,iccma23,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,8,asc_03,1.0,iccma23,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,9,asc_04,1.0,iccma23,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,10,asc_05,1.0,iccma23,95.44072948328267
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,11,asc_06,1.0,iccma23,95.13677811550151
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,12,asc_07,1.0,iccma23,93.00911854103343
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,13,asc_08,1.0,iccma23,94.52887537993921
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,14,asc_09,1.0,iccma23,98.78419452887537
asc_mu_DSPR_ICCMAall_1200,DS-PR,1,15,asc_10,1.0,iccma23,98.78419452887537
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,1,mu-toksia-glucose,ICCMA23,iccma21,78.54166666666667
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,6,asc_01,1.0,iccma21,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,7,asc_02,1.0,iccma21,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,8,asc_03,1.0,iccma21,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,9,asc_04,1.0,iccma21,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,10,asc_05,1.0,iccma21,99.375
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,11,asc_06,1.0,iccma21,94.16666666666667
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,12,asc_07,1.0,iccma21,93.75
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,13,asc_08,1.0,iccma21,93.75
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,14,asc_09,1.0,iccma21,97.5
asc_mu_DSPR_ICCMAall_1200,DS-PR,2,15,asc_10,1.0,iccma21,97.5
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,1,mu-toksia-glucose,ICCMA23,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,6,asc_01,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,7,asc_02,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,8,asc_03,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,9,asc_04,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,10,asc_05,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,11,asc_06,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,12,asc_07,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,13,asc_08,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,14,asc_09,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,3,15,asc_10,1.0,iccma19,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,1,mu-toksia-glucose,ICCMA23,iccma17,88.28571428571429
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,6,asc_01,1.0,iccma17,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,7,asc_02,1.0,iccma17,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,8,asc_03,1.0,iccma17,99.71428571428571
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,9,asc_04,1.0,iccma17,99.71428571428571
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,10,asc_05,1.0,iccma17,96.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,11,asc_06,1.0,iccma17,93.42857142857143
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,12,asc_07,1.0,iccma17,93.42857142857143
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,13,asc_08,1.0,iccma17,93.42857142857143
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,14,asc_09,1.0,iccma17,94.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,4,15,asc_10,1.0,iccma17,94.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,1,mu-toksia-glucose,ICCMA23,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,6,asc_01,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,7,asc_02,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,8,asc_03,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,9,asc_04,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,10,asc_05,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,11,asc_06,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,12,asc_07,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,13,asc_08,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,14,asc_09,1.0,iccma15,100.0
asc_mu_DSPR_ICCMAall_1200,DS-PR,5,15,asc_10,1.0,iccma15,100.0
